FIRST_NAME,FULL_NAME,LAST_NAME,PLAYER_ID
Tate,Tate Armstrong,Armstrong,76059
Jesse,Jesse Arnelle,Arnelle,76062
Jay,Jay Arnette,Arnette,76063
Bob,Bob Arnzen,Arnzen,76064
Carlos,Carlos Arroyo,Arroyo,2306
Darrell,Darrell Arthur,Arthur,201589
John,John Arthurs,Arthurs,76065
Jamel,Jamel Artis,Artis,1628503
Omer,Omer Asik,Asik,201600
Vincent,Vincent Askew,Askew,355
Keith,Keith Askins,Askins,173
Don,Don Asmonga,Asmonga,76068
Richard,Richard Atha,Atha,76069
Chucky,Chucky Atkins,Atkins,1088
Alvin,Alvin Attles,Attles,76070
Chet,Chet Aubuchon,Aubuchon,76071
Stacey,Stacey Augmon,Augmon,278
D.J.,D.J. Augustin,Augustin,201571
James,James Augustine,Augustine,200788
Ike,Ike Austin,Austin,1134
John,John Austin,Austin,76073
Ken,Ken Austin,Austin,76074
Anthony,Anthony Avent,Avent,138
William,William Averitt,Averitt,76076
William,William Avery,Avery,1895
Dennis,Dennis Awtrey,Awtrey,76078
Gustavo,Gustavo Ayon,Ayon,202970
Jeff,Jeff Ayres,Ayres,201965
Deandre,Deandre Ayton,Ayton,1629028
Kelenna,Kelenna Azubuike,Azubuike,101235
Chris,Chris Babb,Babb,203569
Luke,Luke Babbitt,Babbitt,202337
Milos,Milos Babic,Babic,76079
Johnny,Johnny Bach,Bach,76080
Dwayne,Dwayne Bacon,Bacon,1628407
Jim,Jim Baechtold,Baechtold,76081
Dalibor,Dalibor Bagaric,Bagaric,2053
John,John Bagley,Bagley,76082
Marvin,Marvin Bagley III,Bagley III,1628963
Carl,Carl Bailey,Bailey,76084
Gus,Gus Bailey,Bailey,76083
James,James Bailey,Bailey,76085
Thurl,Thurl Bailey,Bailey,1847
Toby,Toby Bailey,Bailey,1753
Cameron,Cameron Bairstow,Bairstow,203946
Mark,Mark Baker,Baker,1858
Maurice,Maurice Baker,Baker,2486
Norm,Norm Baker,Baker,76089
Ron,Ron Baker,Baker,1627758
Vin,Vin Baker,Baker,452
Wade,Wade Baldwin IV,Baldwin IV,1627735
Renaldo,Renaldo Balkman,Balkman,200764
Cedric,Cedric Ball,Ball,76090
Lonzo,Lonzo Ball,Ball,1628366
Greg,Greg Ballard,Ballard,76091
Herschel,Herschel Baltimore,Baltimore,76092
Mohamed,Mohamed Bamba,Bamba,1628964
Gene,Gene Banks,Banks,76093
Marcus,Marcus Banks,Banks,2556
Ken,Ken Bannister,Bannister,76094
Mike,Mike Bantom,Bantom,76095
John,John Barber,Barber,76096
Leandro,Leandro Barbosa,Barbosa,2571
Stephen,Stephen Bardo,Bardo,76097
J.J.,J.J. Barea,Barea,200826
Andrea,Andrea Bargnani,Bargnani,200745
Cliff,Cliff Barker,Barker,76098
Tom,Tom Barker,Barker,76099
Charles,Charles Barkley,Barkley,787
Erick,Erick Barkley,Barkley,2057
Don,Don Barksdale,Barksdale,76102
Harrison,Harrison Barnes,Barnes,203084
Harry,Harry Barnes,Barnes,76103
Jim,Jim Barnes,Barnes,76105
Marvin,Marvin Barnes,Barnes,76104
Matt,Matt Barnes,Barnes,2440
Dick,Dick Barnett,Barnett,76107
Jim,Jim Barnett,Barnett,76106
John,John Barnhill,Barnhill,76108
Norton,Norton Barnhill,Barnhill,76109
Leo,Leo Barnhorst,Barnhorst,76110
John,John Barr,Barr,76111
Mike,Mike Barr,Barr,76112
Thomas,Thomas Barr,Barr,76113
Andre,Andre Barrett,Barrett,2857
Ernie,Ernie Barrett,Barrett,76114
