Unnamed: 0,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
791,1628470,0,0,78,38.0,1496.0,151,344,0.438953,50.0,166.0,0.30120399999999997,45,71,0.6338020000000001,98.0,189.0,287.0,63,31.0,36.0,53.0,161,397
792,1544,0,0,252,92.0,3988.0,609,1393,0.43718500000000005,70.0,202.0,0.346534,366,444,0.824324,206.0,341.0,547.0,154,101.0,80.0,232.0,492,1654
793,76466,0,0,297,0.0,5047.0,832,1864,0.446351,0.0,0.0,0.0,367,617,0.594813,0.0,746.0,746.0,610,0.0,0.0,0.0,692,2031
794,2037,0,0,1299,433.0,38413.0,6658,16258,0.409521,2180.0,6271.0,0.34763099999999997,3649,4233,0.862036,464.0,2443.0,2907.0,4428,1160.0,266.0,2433.0,1978,19145
795,201621,0,0,2,0.0,23.0,3,10,0.3,1.0,4.0,0.25,2,2,1.0,1.0,3.0,4.0,1,1.0,0.0,0.0,2,9
796,202348,0,0,281,99.0,6843.0,1286,3130,0.410862,330.0,1041.0,0.317002,530,642,0.8255450000000001,153.0,550.0,703.0,883,196.0,23.0,529.0,437,3432
797,76468,0,0,32,0.0,172.0,12,43,0.279069,0.0,0.0,0.0,7,16,0.4375,13.0,32.0,45.0,4,2.0,9.0,0.0,23,31
798,76469,0,0,3,0.0,4.0,0,3,0.0,0.0,0.0,0.0,0,2,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,2,0
799,76470,0,0,4,0.0,0.0,2,6,0.333333,0.0,0.0,0.0,2,2,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,6
800,2343,0,0,21,0.0,154.0,26,68,0.382352,15.0,39.0,0.384615,12,13,0.923076,2.0,9.0,11.0,26,5.0,0.0,10.0,10,79
801,76471,0,0,418,22.0,8960.0,1315,3045,0.43185500000000004,19.0,106.0,0.1792452830188679,885,1065,0.8309850000000001,130.0,462.0,592.0,1335,366.0,21.0,640.0,589,3534
802,76472,0,0,31,0.0,264.0,34,71,0.47887299999999994,0.0,0.0,0.0,19,25,0.76,28.0,37.0,65.0,15,5.0,8.0,26.0,43,87
803,201159,0,0,113,10.0,1852.0,229,518,0.44208400000000003,12.0,52.0,0.230769,125,196,0.6377550000000001,84.0,192.0,276.0,201,59.0,8.0,137.0,148,595
804,76473,0,0,154,0.0,1559.0,444,1407,0.315565,0.0,0.0,0.0,464,657,0.70624,0.0,215.0,215.0,205,0.0,0.0,0.0,557,1352
805,76474,0,0,82,1.0,495.0,40,108,0.37037,0.0,0.0,0.0,19,43,0.44186000000000003,47.0,92.0,139.0,28,10.0,23.0,43.0,91,99
806,76475,0,0,4,0.0,28.0,2,4,0.5,0.0,0.0,0.0,2,2,1.0,0.0,1.0,1.0,7,0.0,0.0,5.0,4,6
807,1506,0,0,659,88.0,11479.0,1491,3659,0.407488,429.0,1262.0,0.339936,1064,1236,0.860841,700.0,1949.0,2649.0,627,245.0,216.0,656.0,1094,4475
808,76476,0,0,21,0.0,128.0,6,24,0.25,0.0,0.0,0.0,14,25,0.56,9.0,21.0,30.0,1,2.0,3.0,6.0,38,26
809,76477,0,0,182,0.0,3775.0,403,934,0.43147700000000005,0.0,0.0,0.0,251,361,0.69529,0.0,1519.0,1519.0,187,0.0,0.0,0.0,376,1057
810,76478,0,0,45,0.0,354.0,64,112,0.5714279999999999,0.0,0.0,0.0,38,91,0.41758199999999995,35.0,47.0,82.0,22,12.0,7.0,19.0,58,166
811,76479,0,0,147,0.0,0.0,288,907,0.31753000000000003,0.0,0.0,0.0,118,166,0.710843,0.0,0.0,0.0,223,0.0,0.0,0.0,220,694
812,180,0,0,477,6.0,5796.0,625,1449,0.431331,144.0,375.0,0.384,509,608,0.8371709999999999,136.0,366.0,502.0,999,181.0,20.0,428.0,597,1903
813,76481,0,0,15,0.0,154.0,35,80,0.4375,0.0,0.0,0.0,14,20,0.7,14.0,13.0,27.0,8,5.0,1.0,12.0,24,84
814,76482,0,0,58,0.0,357.0,45,122,0.368852,13.0,34.0,0.382352,17,24,0.708333,17.0,27.0,44.0,18,8.0,2.0,15.0,36,120
815,203109,0,0,508,239.0,12219.0,1639,3852,0.425493,654.0,1926.0,0.339563,794,1017,0.7807270000000001,364.0,1585.0,1949.0,709,491.0,162.0,422.0,1002,4726
816,76483,0,0,683,308.0,14516.0,2734,5506,0.49654899999999996,0.0,16.0,0.0,1061,1440,0.736805,1166.0,2659.0,3825.0,807,360.0,171.0,1152.0,2037,6529
