RK,FULL_NAME,TWITTER_ACC
1,ClutchFans,clutchfans
2,CBS Sports NBA,CBSSportsNBA
3,NBA UK Fans,NBA_UKfans
4,The Drop NBA,thedropnba
5,FanSided NBA,FanSidedNBA
6,The Step Back,The_Step_Back
7,Fastbreak Breakfast,fastbreakbreak
8,Cameron Tabatabaie,CTabatabaie
9,NBA on ESPN,ESPNNBA
10,NBA on TNTVerified account,NBAonTNT

