STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1230,323,0,0,656,95,7978,1047,2382,0.439546,20,89,0.224719,424,567,0.747795,509,1182,1691,351,94,194,465,1221,2538
1231,1902,0,0,764,345,15744,1472,2961,0.497129,7,54,0.129629,796,1295,0.614671,2101,3147,5248,703,507,308,613,1921,3747
1232,76742,0,0,207,35,3446,631,1434,0.440027,72,242,0.29752,228,297,0.767676,75,183,258,479,137,10,286,441,1562
1233,2238,0,0,28,1,317,42,104,0.403846,7,23,0.304347,17,20,0.85,25,37,62,10,9,11,21,22,108
1234,203095,0,0,419,277,11560,2004,4494,0.445927,695,1862,0.373254,869,1084,0.80166,189,944,1133,1011,336,40,673,1016,5572
1235,76744,0,0,817,0,21890,3814,9414,0.405141,0,0,0,3570,4816,0.741279,0,8041,8041,1368,0,0,0,2909,11198
1236,76745,0,0,6,0,41,4,13,0.307692,0,0,0,1,4,0.25,0,10,10,2,0,0,0,9,9
1237,1762,0,0,103,27,1233,105,257,0.40856,4,20,0.2,87,110,0.790909,94,134,228,54,47,6,50,146,301
1238,1628368,0,0,118,106,3444,613,1404,0.436609,97,288,0.336805,318,438,0.726027,59,306,365,648,151,45,308,280,1641
1239,76746,0,0,10,0,84,12,32,0.375,0,0,0,7,8,0.875,0,8,8,10,0,0,0,7,31
1240,76747,0,0,743,0,17294,2611,5452,0.478906,0,0,0,1723,2239,0.769539,554,1215,5525,1201,151,79,0,2023,6945
1241,296,0,0,930,587,23720,3382,7519,0.449793,771,2208,0.349184,1431,1858,0.770182,996,2521,3517,2649,967,355,1611,2739,8966
1242,200751,0,0,752,433,19279,2704,6750,0.400592,1104,3017,0.365926,1217,1429,0.851644,245,1441,1686,2112,528,220,1106,1584,7729
1243,1502,0,0,733,269,13061,1318,2766,0.4765,0,2,0,353,707,0.499292,1301,2160,3461,344,264,1193,597,1575,2989
1244,2499,0,0,140,2,1472,178,433,0.411085,95,267,0.355805,51,63,0.809523,36,128,164,83,37,10,35,122,502
1245,1883,0,0,576,543,21633,3543,8267,0.428571,575,1684,0.341448,2785,3494,0.79708,960,2255,3215,3473,846,223,2030,1813,10446
1246,76748,0,0,264,81,4703,639,1456,0.438873,0,4,0,432,583,0.740994,363,659,1022,276,158,95,326,795,1710
1247,76749,0,0,6,0,0,4,27,0.148148,0,0,0,8,12,0.666666,0,0,0,3,0,0,0,6,16
1248,203479,0,0,24,0,175,17,41,0.414634,6,13,0.461538,2,2,1,5,20,25,9,4,3,14,27,42
1249,204025,0,0,220,68,4002,409,1002,0.408183,101,309,0.32686,201,276,0.72826,107,414,521,894,162,18,293,398,1120
1250,76750,0,0,825,0,30965,6130,12516,0.489773,0,1,0,3321,4226,0.785849,403,1523,4830,5040,681,63,139,2180,15581
1251,76751,0,0,2,0,9,0,4,0,0,0,0,1,2,0.5,0,5,5,1,0,0,0,1,1
1252,1628982,0,0,3,0,16,0,3,0,0,1,0,0,0,0,0,1,1,0,1,0,1,3,0
1253,76752,0,0,147,29,1640,291,663,0.438914,6,22,0.272727,130,186,0.698924,137,143,280,135,76,45,132,200,718
