FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR,GAME_ID,PLAYER_ID
Caron Butler,Bench,SF,16:00,1-7,0-0,0-0,0.5,3,1,4,1,0,0,1,0,2,2007,56,2406
LeBron James,Starter,SF,32:00,11-20,4-8,2-2,19.8,0,6,6,6,0,1,4,0,28,2007,56,2544
Carmelo Anthony,Bench,SF,25:00,10-15,0-0,0-0,18.2,3,6,9,1,0,0,1,2,20,2007,56,2546
Chris Bosh,Starter,PF,22:00,5-7,0-0,1-12,8.2,3,4,7,1,0,0,0,0,11,2007,56,2547
Dwyane Wade,Starter,SG,24:00,5-12,0-0,0-0,5,0,0,0,3,0,6,5,0,10,2007,56,2548
Josh Howard,Bench,SF,20:00,1-3,0-1,1-2,8.2,1,3,4,3,0,1,0,1,3,2007,56,2572
Dwight Howard,Bench,C,21:00,10-14,0-0,0-5,16.9,7,5,12,1,1,0,3,1,20,2007,56,2730
Jason Kidd,Starter,PG,25:00,1-2,0-1,0-0,16.5,0,4,4,10,0,4,1,0,2,2008,57,467
Rasheed Wallace,Bench,PF,17:00,1-5,1-5,0-0,4.5,2,3,5,0,2,1,1,2,3,2008,57,739
Allen Iverson,Starter,PG,21:00,3-7,0-0,1-2,7.8,1,1,2,6,0,4,6,1,7,2008,57,947
Ray Allen,Bench,SG,19:00,10-14,5-9,3-5,20.1,0,2,2,1,0,2,0,0,28,2008,57,951
Steve Nash,Bench,PG,20:00,4-8,0-1,0-0,6.5,0,0,0,6,3,0,1,1,8,2008,57,959
Kobe Bryant,Starter,PG,03:00,0-0,0-0,0-0,0.8,0,1,1,0,0,0,0,0,0,2008,57,977
Tim Duncan,Starter,PF,22:00,2-7,0-1,0-0,5,4,5,9,1,1,1,4,1,4,2008,57,1495
Chauncey Billups,Bench,PG,18:00,3-10,0-6,0-1,1.6,1,0,1,4,1,0,1,0,6,2008,57,1497
Antawn Jamison,Bench,SF,12:00,1-3,0-2,0-0,-0.5,0,1,1,0,0,0,2,1,2,2008,57,1712
Dirk Nowitzki,Bench,PF,25:00,5-14,1-4,2-2,5,1,3,4,2,0,0,2,0,13,2008,57,1717
Paul Pierce,Bench,SF,13:00,5-9,0-3,0-0,6.2,0,4,4,2,0,0,2,0,10,2008,57,1718
Richard Hamilton,Bench,SG,18:00,4-9,1-1,0-0,4.2,0,0,0,2,0,0,0,0,9,2008,57,1888
Joe Johnson,Bench,SG,13:00,1-2,1-1,0-0,3,0,0,0,2,1,1,1,0,3,2008,57,2207
Yao Ming,Starter,C,13:00,2-5,0-2,2-2,5.5,1,4,5,1,0,0,1,0,6,2008,57,2397
Amar'e Stoudemire,Bench,PF,23:00,8-11,1-2,1-3,12.4,0,5,5,0,2,1,1,1,18,2008,57,2405
Carlos Boozer,Bench,PF,19:00,7-15,0-0,0-2,9.5,4,6,10,0,0,0,1,0,14,2008,57,2430
LeBron James,Starter,SF,30:00,12-22,2-7,1-1,23.9,1,7,8,9,3,2,4,2,27,2008,57,2544
Carmelo Anthony,Starter,SF,22:00,8-17,0-0,2-3,9.6,5,2,7,1,0,0,2,0,18,2008,57,2546
Chris Bosh,Starter,PF,22:00,7-15,0-0,0-2,7.2,2,5,7,1,1,0,1,0,14,2008,57,2547
Dwyane Wade,Starter,SG,22:00,7-12,0-1,0-2,9,1,3,4,3,1,0,2,1,14,2008,57,2548
David West,Bench,PF,16:00,3-6,0-0,0-0,4.5,2,2,4,1,1,0,1,0,6,2008,57,2561
Dwight Howard,Starter,C,31:00,7-7,0-0,2-3,21.6,5,4,9,3,4,3,1,1,16,2008,57,2730
Chris Paul,Bench,PG,27:00,7-14,2-6,0-0,21.8,2,1,3,14,5,4,2,0,16,2008,57,101108
Brandon Roy,Bench,SG,29:00,8-10,2-3,0-0,23.5,1,8,9,5,2,1,0,1,18,2008,57,200750
Shaquille O'Neal,Bench,C,11:00,8-9,0-0,1-4,15,4,1,5,3,1,0,2,1,17,2009,58,406
Kevin Garnett,Starter,PF,19:00,5-5,0-0,2-2,11,2,2,4,2,0,0,2,0,12,2009,58,708
Allen Iverson,Starter,PG,15:00,1-4,0-0,0-0,2.2,0,1,1,3,1,1,1,0,2,2009,58,947
Ray Allen,Bench,SG,18:00,4-10,0-3,0-0,3,1,2,3,1,0,0,1,0,8,2009,58,951
Kobe Bryant,Starter,SG,29:00,12-23,3-8,0-0,20,1,3,4,4,0,4,1,0,27,2009,58,977
Tim Duncan,Starter,PF,18:00,3-5,0-0,0-0,6,0,3,3,2,1,1,2,1,6,2009,58,1495
Chauncey Billups,Bench,PG,19:00,2-5,1-3,0-0,2.8,0,2,2,3,2,1,3,0,5,2009,58,1497
Dirk Nowitzki,Bench,PF,14:00,3-5,0-0,2-2,5.2,0,1,1,1,0,0,0,0,8,2009,58,1717
Paul Pierce,Bench,SF,20:00,6-11,1-5,5-6,12.2,1,3,4,2,3,2,1,0,18,2009,58,1718
Rashard Lewis,Bench,SF,21:00,3-6,1-4,1-2,5,1,5,6,0,3,0,1,0,8,2009,58,1740
Pau Gasol,Bench,PF,17:00,5-7,0-0,4-4,15.8,2,6,8,1,2,1,0,1,14,2009,58,2200
Joe Johnson,Bench,SG,22:00,0-4,0-3,0-0,-8,0,0,0,0,0,0,5,0,0,2009,58,2207
Tony Parker,Bench,PG,20:00,7-11,0-2,0-0,12.8,0,4,4,4,0,2,2,0,14,2009,58,2225
Yao Ming,Starter,C,12:00,1-4,0-0,0-0,0.2,0,3,3,0,2,0,1,1,2,2009,58,2397
Amar'e Stoudemire,Starter,SF,25:00,7-10,0-0,5-6,12,3,3,6,0,1,0,2,0,19,2009,58,2405
LeBron James,Starter,SF,27:00,8-19,2-5,2-2,8.8,0,5,5,3,0,0,3,0,20,2009,58,2544
Dwyane Wade,Starter,SG,26:00,6-13,2-6,4-7,14.6,2,0,2,5,2,3,0,0,18,2009,58,2548
David West,Bench,PF,15:00,3-5,0-0,0-0,4.8,1,2,3,0,2,1,0,0,6,2009,58,2561
Mo Williams,Bench,PG,17:00,5-10,2-5,0-0,9.2,1,1,2,5,0,0,2,0,12,2009,58,2590
Dwight Howard,Starter,C,27:00,5-11,0-2,3-5,11.9,3,6,9,0,3,1,1,3,13,2009,58,2730
Devin Harris,Bench,PG,17:00,3-6,0-1,0-0,2.5,1,0,1,0,0,0,0,0,6,2009,58,2734
Chris Paul,Starter,PG,29:00,7-14,0-1,0-0,23,1,6,7,14,4,3,1,0,14,2009,58,101108
Danny Granger,Bench,SF,11:00,1-1,0-0,0-0,3.2,1,0,1,0,0,2,1,0,2,2009,58,101122
Brandon Roy,Bench,SG,31:00,7-8,0-0,0-0,15.8,0,5,5,5,2,0,0,0,14,2009,58,200750
Jason Kidd,Bench,PG,06:00,0-1,0-1,0-0,1.8,0,2,2,1,0,1,1,0,0,2010,59,467
Kevin Garnett,Starter,PF,13:00,2-4,0-0,0-0,4.2,0,3,3,2,0,0,2,1,4,2010,59,708
Steve Nash,Starter,PG,20:00,2-4,0-0,0-0,13,1,0,1,13,0,0,2,0,4,2010,59,959
Tim Duncan,Starter,PF,13:00,1-4,0-0,1-2,1,1,3,4,0,1,2,3,0,3,2010,59,1495
Chauncey Billups,Bench,PG,26:00,6-11,5-8,0-0,12.2,0,0,0,5,1,1,2,0,17,2010,59,1497
Dirk Nowitzki,Starter,SF,28:00,8-15,0-1,6-6,11.5,0,4,4,2,2,1,2,0,22,2010,59,1717
Paul Pierce,Bench,SF,12:00,3-6,2-3,0-0,3.5,0,0,0,0,0,1,1,0,8,2010,59,1718
Pau Gasol,Bench,PF,20:00,5-9,0-0,3-3,9.6,2,4,6,0,3,1,0,0,13,2010,59,2200
Joe Johnson,Starter,SG,18:00,4-8,2-5,0-0,7.8,0,1,1,1,0,2,0,0,10,2010,59,2207
Zach Randolph,Bench,C,19:00,4-10,0-0,0-0,7.8,3,3,6,2,2,2,1,0,8,2010,59,2216
Gerald Wallace,Bench,SF,16:00,1-3,0-0,0-0,3,0,3,3,1,0,0,0,0,2,2010,59,2222
Amar'e Stoudemire,Starter,C,20:00,5-10,0-0,2-2,11,3,7,10,0,0,1,2,0,12,2010,59,2405
LeBron James,Starter,SF,32:00,10-22,1-6,4-4,18.5,1,4,5,6,1,4,2,0,25,2010,59,2544
Carmelo Anthony,Starter,SG,29:00,13-22,1-4,0-1,18.6,4,6,10,2,0,0,2,0,27,2010,59,2546
Chris Bosh,Bench,PF,29:00,9-16,0-0,5-7,16.4,2,8,10,1,0,2,3,0,23,2010,59,2547
Dwyane Wade,Starter,PG,31:00,12-16,0-1,4-6,30,3,3,6,11,4,5,3,0,28,2010,59,2548
Chris Kaman,Bench,C,11:00,2-4,0-0,0-0,3.8,2,1,3,1,0,0,1,0,4,2010,59,2549
Dwight Howard,Starter,C,27:00,7-10,1-2,2-3,13.1,0,5,5,1,4,0,1,3,17,2010,59,2730
Deron Williams,Bench,PG,28:00,6-11,2-4,0-0,12,0,3,3,6,4,4,5,1,14,2010,59,101114
David Lee,Bench,PF,12:00,2-3,0-0,0-0,0.8,0,2,2,1,1,0,3,0,4,2010,59,101135
Rajon Rondo,Bench,PG,20:00,2-3,0-0,0-0,6.2,1,0,1,5,1,1,2,0,4,2010,59,200765
Kevin Durant,Bench,SF,20:00,7-14,1-3,0-0,6.5,1,4,5,0,0,0,2,0,15,2010,59,201142
Al Horford,Bench,PF,14:00,4-5,0-0,0-1,10.4,0,4,4,2,1,1,0,1,8,2010,59,201143
Derrick Rose,Bench,PG,16:00,4-8,0-0,0-0,8,0,0,0,4,0,3,1,0,8,2010,59,201565
Kevin Garnett,Bench,PF,07:32,2-3,0-0,0-0,8.5,0,5,5,2,0,0,0,1,4,2011,60,708
Ray Allen,Bench,SG,17:09,4-9,2-7,2-2,7.8,1,3,4,2,2,0,1,0,12,2011,60,951
Kobe Bryant,Starter,SG,29:21,14-26,2-7,7-8,28.5,10,4,14,3,2,3,4,0,37,2011,60,977
Tim Duncan,Starter,C,11:40,1-4,0-0,0-0,5.5,1,2,3,2,0,2,0,0,2,2011,60,1495
Dirk Nowitzki,Bench,PF,14:14,3-8,0-1,0-0,6.8,0,5,5,1,0,1,0,1,6,2011,60,1717
Paul Pierce,Bench,SF,11:12,2-6,1-3,1-2,0.5,0,1,1,2,0,0,3,0,6,2011,60,1718
Manu Ginobili,Bench,SG,20:43,2-7,0-3,3-4,7.2,1,2,3,5,3,3,2,0,7,2011,60,1938
Pau Gasol,Bench,C,24:22,8-13,0-1,1-2,14.8,6,1,7,2,3,0,1,2,17,2011,60,2200
Joe Johnson,Bench,SG,20:26,4-11,3-9,0-1,8.6,1,1,2,2,1,3,0,0,11,2011,60,2207
Amar'e Stoudemire,Starter,PF,28:04,11-20,1-2,6-6,19,3,3,6,2,0,0,1,1,29,2011,60,2405
LeBron James,Starter,SF,32:20,10-18,0-3,9-10,25.8,2,10,12,10,3,0,4,0,29,2011,60,2544
Carmelo Anthony,Starter,SF,22:44,4-10,0-1,0-0,7,3,4,7,2,3,1,2,1,8,2011,60,2546
Chris Bosh,Bench,PF,20:56,7-10,0-1,0-1,10.4,2,3,5,2,0,0,3,1,14,2011,60,2547
Dwyane Wade,Starter,SG,20:16,6-9,0-1,2-2,7.8,1,3,4,2,2,1,4,0,14,2011,60,2548
Dwight Howard,Starter,C,21:17,2-4,0-2,1-2,5,2,5,7,1,4,1,2,0,5,2011,60,2730
Chris Paul,Starter,PG,28:32,3-7,2-3,2-2,14.8,1,3,4,7,3,5,3,0,10,2011,60,101108
Deron Williams,Bench,PG,17:53,2-7,1-3,0-0,7.5,0,1,1,7,0,1,2,1,5,2011,60,101114
Rajon Rondo,Bench,PG,20:34,3-5,0-0,0-0,10.2,2,0,2,8,0,0,2,0,6,2011,60,200765
Kevin Durant,Starter,PF,30:00,11-23,4-11,8-8,20.5,0,3,3,2,3,2,0,2,34,2011,60,201142
Al Horford,Bench,C,10:20,1-3,0-0,0-0,2.2,1,2,3,0,2,0,0,1,2,2011,60,201143
Derrick Rose,Starter,PG,29:56,5-13,0-1,1-2,8,1,2,3,5,0,1,1,0,11,2011,60,201565
Russell Westbrook,Bench,PG,14:08,6-12,0-1,0-2,8.2,3,2,5,2,1,0,0,0,12,2011,60,201566
Kevin Love,Bench,C,11:44,1-3,0-0,0-0,2.8,0,4,4,1,0,0,1,0,2,2011,60,201567
Blake Griffin,Bench,PF,14:39,4-6,0-0,0-0,12.8,2,3,5,5,0,0,0,0,8,2011,60,201933
Steve Nash,Bench,PG,04:40,0-0,0-0,0-0,3,0,0,0,4,0,0,1,0,0,2012,61,959
Kobe Bryant,Starter,SG,34:48,9-17,2-5,7-8,13,0,1,1,1,2,2,1,0,27,2012,61,977
Dirk Nowitzki,Bench,PF,13:44,3-8,1-5,0-0,5,2,2,4,1,1,0,0,0,7,2012,61,1717
Paul Pierce,Bench,SF,11:07,1-8,1-4,0-0,-2.8,1,1,2,0,1,0,2,1,3,2012,61,1718
Tony Parker,Bench,PG,12:16,3-5,0-0,0-0,7,1,1,2,4,0,0,1,0,6,2012,61,2225
LeBron James,Starter,PF,32:09,15-23,6-8,0-0,25.2,0,6,6,7,2,0,4,0,36,2012,61,2544
Carmelo Anthony,Starter,SF,30:20,7-15,0-3,5-7,14.9,4,5,9,0,0,2,0,0,19,2012,61,2546
Chris Bosh,Bench,PF,20:08,3-9,1-2,0-0,4,1,1,2,1,2,2,1,1,7,2012,61,2547
Dwyane Wade,Starter,SG,32:54,11-15,0-1,2-2,26.2,3,7,10,10,4,2,4,0,24,2012,61,2548
Dwight Howard,Starter,C,31:10,4-9,0-4,1-2,11.2,5,5,10,3,4,0,1,1,9,2012,61,2730
Luol Deng,Bench,SF,05:51,0-2,0-0,0-0,-0.5,0,0,0,1,0,0,0,0,0,2012,61,2736
Andre Iguodala,Bench,SF,14:11,6-7,0-1,0-0,13,1,3,4,2,0,1,1,1,12,2012,61,2738
Chris Paul,Starter,PG,30:57,3-7,2-5,0-0,17,0,5,5,12,1,1,2,0,8,2012,61,101108
Deron Williams,Bench,PG,18:08,8-11,4-7,0-0,18.2,1,2,3,4,2,1,0,0,20,2012,61,101114
Andrew Bynum,Starter,C,05:31,0-3,0-1,0-0,3.2,1,2,3,1,0,1,0,1,0,2012,61,101115
LaMarcus Aldridge,Bench,PF,09:48,2-5,0-0,0-0,2,0,1,1,1,0,0,0,0,4,2012,61,200746
Rajon Rondo,Bench,PG,15:34,1-3,0-0,0-0,4.8,0,2,2,8,1,0,4,0,2,2012,61,200765
Kevin Durant,Starter,SF,37:23,14-25,3-8,5-7,24.6,3,4,7,3,0,3,2,0,36,2012,61,201142
Marc Gasol,Bench,C,13:32,2-5,0-0,0-0,0.8,1,2,3,0,2,0,1,0,4,2012,61,201188
Derrick Rose,Starter,PG,18:17,6-8,2-2,0-0,9.5,1,0,1,3,1,0,2,0,14,2012,61,201565
Russell Westbrook,Bench,PG,27:31,10-17,1-4,0-2,14,5,0,5,2,3,2,1,0,21,2012,61,201566
Kevin Love,Bench,PF,18:24,7-12,2-4,1-3,15.6,2,5,7,1,0,3,1,0,17,2012,61,201567
Roy Hibbert,Bench,C,10:11,1-3,0-0,1-1,3.9,1,2,3,1,0,0,0,0,3,2012,61,201579
Blake Griffin,Starter,PF,31:26,9-12,1-2,3-6,20,3,5,8,3,3,2,1,0,22,2012,61,201933
Kevin Garnett,Starter,C,06:26,0-2,0-0,0-0,1,1,2,3,1,0,0,1,0,0,2013,62,708
Kobe Bryant,Starter,SG,27:36,4-9,0-3,1-2,15,2,2,4,8,2,2,1,2,9,2013,62,977
Tim Duncan,Bench,PF,08:03,1-4,0-1,0-0,0,1,2,3,0,1,0,1,0,2,2013,62,1495
Tyson Chandler,Bench,C,16:51,2-5,0-0,3-3,8.4,3,5,8,0,1,0,0,0,7,2013,62,2199
Zach Randolph,Bench,PF,13:21,3-6,0-0,0-0,5.5,1,4,5,0,0,0,0,0,6,2013,62,2216
Tony Parker,Bench,PG,21:58,5-10,1-3,2-2,9.5,0,1,1,5,0,2,3,0,13,2013,62,2225
LeBron James,Starter,SF,30:02,7-18,3-7,2-4,8.2,0,3,3,5,0,1,4,0,19,2013,62,2544
Carmelo Anthony,Starter,SG,30:30,8-14,3-7,7-9,24.4,5,7,12,3,0,0,1,0,26,2013,62,2546
Chris Bosh,Starter,PF,23:22,3-9,0-3,0-0,-1.8,0,2,2,1,3,1,3,0,6,2013,62,2547
Dwyane Wade,Starter,PG,28:49,10-13,1-2,0-0,19.8,1,2,3,7,2,2,4,2,21,2013,62,2548
Dwight Howard,Starter,C,14:11,4-6,1-1,0-0,8.2,0,7,7,0,1,0,1,0,9,2013,62,2730
Luol Deng,Bench,SF,17:05,4-10,1-5,1-1,2.6,0,2,2,1,0,0,2,0,10,2013,62,2736
Chris Paul,Starter,PG,27:17,7-10,4-5,2-3,27.4,0,0,0,15,0,4,3,0,20,2013,62,101108
David Lee,Bench,PF,13:25,3-4,0-0,0-0,5,0,2,2,0,1,2,1,0,6,2013,62,101135
LaMarcus Aldridge,Bench,PF,11:27,0-2,0-0,0-0,3.5,0,4,4,1,0,0,1,2,0,2013,62,200746
Kevin Durant,Starter,SF,31:22,13-24,3-8,1-1,17.6,0,6,6,1,3,2,0,0,30,2013,62,201142
Joakim Noah,Bench,C,16:12,4-7,0-0,0-0,13.5,3,7,10,3,1,0,1,1,8,2013,62,201149
Russell Westbrook,Bench,PG,18:06,7-13,0-3,0-0,9.2,2,2,4,3,1,1,2,0,14,2013,62,201566
Brook Lopez,Bench,C,10:35,0-1,0-1,3-4,6.5,2,3,5,3,1,0,1,0,3,2013,62,201572
Blake Griffin,Starter,PF,27:24,9-11,0-0,1-2,17.2,2,1,3,3,3,2,0,1,19,2013,62,201933
James Harden,Bench,SG,25:50,6-13,3-8,0-0,10,1,5,6,3,2,0,2,0,15,2013,62,201935
Jrue Holiday,Bench,PG,15:19,3-6,0-2,0-0,4.5,0,2,2,1,1,2,1,0,6,2013,62,201950
Paul George,Bench,SG,20:03,7-13,3-6,0-0,15.8,1,2,3,4,0,2,0,0,17,2013,62,202331
Kyrie Irving,Bench,PG,24:46,6-11,3-6,0-0,11,2,1,3,4,1,0,2,0,15,2013,62,202681
Dirk Nowitzki,Bench,PF,08:26,0-2,0-1,0-0,-0.8,0,1,1,0,0,0,0,0,0,2014,63,1717
Joe Johnson,Bench,SG,10:06,2-7,1-6,0-0,1.5,0,1,1,1,0,0,0,0,5,2014,63,2207
Tony Parker,Bench,PG,11:25,2-5,0-0,0-0,2,1,1,2,1,0,0,1,0,4,2014,63,2225
LeBron James,Starter,C,33:08,11-22,0-7,0-0,20,1,6,7,7,0,3,1,0,22,2014,63,2544
Carmelo Anthony,Starter,PF,30:06,10-18,8-13,2-2,20.8,3,2,5,2,3,0,0,0,30,2014,63,2546
Chris Bosh,Bench,PF,10:07,2-3,1-2,0-0,4.8,0,2,2,0,1,2,1,0,5,2014,63,2547
Dwyane Wade,Starter,SG,11:41,5-6,0-0,0-0,10.5,1,0,1,3,0,2,1,0,10,2014,63,2548
Dwight Howard,Bench,C,13:17,4-6,0-2,0-0,15.8,4,7,11,3,0,0,0,0,8,2014,63,2730
Chris Paul,Bench,PG,24:29,4-9,1-4,2-2,19.5,2,2,4,13,1,3,3,0,11,2014,63,101108
LaMarcus Aldridge,Bench,PF,13:17,2-9,0-0,0-0,1.8,3,2,5,0,0,0,0,0,4,2014,63,200746
Paul Millsap,Bench,PF,14:52,3-5,0-2,0-0,5.5,0,3,3,1,0,0,0,0,6,2014,63,200794
Kevin Durant,Starter,SF,34:43,14-27,6-17,4-4,30.5,3,7,10,6,0,1,1,0,38,2014,63,201142
Joakim Noah,Bench,C,20:46,4-5,0-0,0-0,12,0,5,5,5,2,1,1,0,8,2014,63,201149
Kevin Love,Starter,C,32:46,5-11,2-7,1-4,12.2,1,8,9,2,0,1,1,0,13,2014,63,201567
Roy Hibbert,Bench,C,12:19,4-5,0-1,0-0,9.2,1,4,5,2,0,0,1,0,8,2014,63,201579
Blake Griffin,Starter,PF,31:56,19-23,0-2,0-0,25.2,4,2,6,1,4,2,2,0,38,2014,63,201933
James Harden,Starter,SG,23:46,3-7,2-6,0-0,7,0,1,1,5,1,1,2,0,8,2014,63,201935
Stephen Curry,Starter,PG,27:36,4-14,2-11,2-2,12.8,1,2,3,11,1,1,2,0,12,2014,63,201939
DeMar DeRozan,Bench,SG,14:52,4-7,0-1,0-0,7.2,1,2,3,2,0,0,0,0,8,2014,63,201942
John Wall,Bench,PG,15:04,5-7,0-1,2-2,12.2,0,5,5,4,1,2,3,0,12,2014,63,202322
Paul George,Starter,SF,33:08,6-13,1-5,5-5,15.4,1,4,5,5,2,2,1,0,18,2014,63,202331
Kyrie Irving,Starter,PG,33:51,14-17,3-6,0-0,29.2,1,4,5,14,4,0,5,0,31,2014,63,202681
Anthony Davis,Bench,PF,09:35,5-6,0-0,0-0,7.2,0,1,1,0,0,2,1,0,10,2014,63,203076
Damian Lillard,Bench,PG,08:44,3-8,3-6,0-0,2.2,0,1,1,0,1,0,1,0,9,2014,63,203081
Tim Duncan,Bench,PF,15:14,1-2,0-0,0-0,9.5,1,8,9,2,0,0,0,0,2,2015,64,1495
Dirk Nowitzki,Bench,PF,12:00,2-5,1-2,0-0,7.5,2,3,5,0,0,2,0,0,5,2015,64,1717
Pau Gasol,Starter,C,25:44,5-7,0-0,0-0,18.8,4,8,12,2,0,1,0,1,10,2015,64,2200
LeBron James,Starter,SF,31:45,11-21,4-12,4-5,20.9,1,4,5,7,1,2,4,0,30,2015,64,2544
Carmelo Anthony,Starter,PF,30:16,6-20,2-13,0-0,5,3,4,7,0,2,1,1,1,14,2015,64,2546
Chris Bosh,Bench,PF,10:55,4-6,2-4,0-0,10,1,2,3,1,0,2,1,0,10,2015,64,2547
Kyle Korver,Bench,SF,15:35,7-13,7-12,0-0,13.5,0,1,1,2,1,0,0,0,21,2015,64,2594
Chris Paul,Bench,PG,26:46,6-13,0-3,0-0,22,1,5,6,15,0,2,2,0,12,2015,64,101108
LaMarcus Aldridge,Starter,PF,18:08,7-11,4-4,0-0,10.5,1,1,2,0,0,0,1,0,18,2015,64,200746
Kyle Lowry,Starter,PG,25:35,4-13,2-11,0-0,13.8,1,2,3,8,0,4,1,0,10,2015,64,200768
Paul Millsap,Bench,PF,15:35,2-6,1-3,0-0,8.2,1,5,6,3,0,2,2,0,5,2015,64,200794
Kevin Durant,Bench,SF,09:55,1-6,1-6,0-0,0.8,0,3,3,1,0,1,2,0,3,2015,64,201142
Al Horford,Bench,C,13:30,4-6,0-0,0-0,10,3,4,7,2,1,0,1,0,8,2015,64,201143
Marc Gasol,Starter,C,24:55,3-6,0-1,0-0,12,2,8,10,2,1,2,1,0,6,2015,64,201188
Russell Westbrook,Bench,SG,25:33,16-28,5-9,4-4,26,3,2,5,1,0,3,1,0,41,2015,64,201566
James Harden,Starter,SG,26:36,11-16,7-12,0-0,29.8,3,5,8,8,0,2,4,0,29,2015,64,201935
Stephen Curry,Starter,PG,26:36,6-16,3-10,0-0,11.2,4,5,9,5,1,1,5,0,15,2015,64,201939
Jeff Teague,Bench,PG,13:27,6-9,2-2,0-0,11,0,1,1,2,0,2,1,0,14,2015,64,201952
John Wall,Starter,SG,29:17,9-16,1-4,0-0,13.8,0,3,3,7,1,2,4,0,19,2015,64,202322
DeMarcus Cousins,Bench,C,18:06,6-7,0-0,2-3,12.4,4,3,7,0,1,0,1,0,14,2015,64,202326
Kyrie Irving,Bench,SG,19:08,4-9,2-6,1-1,12.9,2,4,6,5,0,0,1,0,11,2015,64,202681
Klay Thompson,Starter,SF,19:43,2-11,1-9,2-2,7.2,1,3,4,6,0,0,0,0,7,2015,64,202691
Jimmy Butler,Bench,SG,09:13,3-4,0-1,0-0,5,1,0,1,1,0,2,2,0,6,2015,64,202710
Damian Lillard,Bench,PG,16:28,4-12,3-9,0-0,3,2,0,2,2,0,1,4,0,11,2015,64,203081
Kobe Bryant,Starter,SF,25:49,4-11,1-5,1-2,12.2,1,5,6,7,1,1,1,0,10,2016,65,977
Pau Gasol,Bench,C,14:31,3-7,0-1,3-4,7.8,1,6,7,1,2,1,1,0,9,2016,65,2200
LeBron James,Starter,SF,20:13,6-13,1-5,0-0,9.2,0,4,4,7,0,0,4,0,13,2016,65,2544
Carmelo Anthony,Starter,C,22:56,6-11,1-5,0-0,8,3,3,6,0,2,0,2,1,13,2016,65,2546
Dwyane Wade,Starter,SG,22:56,4-7,0-1,0-0,11,1,3,4,6,0,2,3,0,8,2016,65,2548
Chris Paul,Bench,PG,19:10,5-7,4-6,0-0,24.2,0,4,4,16,1,1,4,0,14,2016,65,101108
LaMarcus Aldridge,Bench,PF,14:13,2-8,0-1,0-0,3.2,1,3,4,1,0,1,0,0,4,2016,65,200746
Kyle Lowry,Starter,PG,28:31,5-13,4-12,0-0,14,0,5,5,10,2,2,6,1,14,2016,65,200768
Paul Millsap,Bench,PF,19:04,1-6,1-2,0-0,2,1,2,3,1,0,0,0,0,3,2016,65,200794
Kevin Durant,Starter,C,22:55,11-18,1-8,0-0,22.8,2,3,5,7,0,2,0,0,23,2016,65,201142
Al Horford,Bench,PF,09:25,3-3,1-1,0-0,9,0,3,3,2,0,0,0,0,7,2016,65,201143
Russell Westbrook,Starter,SG,22:11,12-23,7-17,0-0,27,3,5,8,5,1,5,3,0,31,2016,65,201566
James Harden,Bench,SG,21:05,8-14,7-12,0-0,17.5,0,4,4,3,0,0,1,0,23,2016,65,201935
Stephen Curry,Starter,PG,28:50,10-18,6-13,0-0,24,1,4,5,6,1,4,2,0,26,2016,65,201939
DeMar DeRozan,Bench,SF,18:54,9-15,0-3,0-1,9.4,1,0,1,2,0,1,1,0,18,2016,65,201942
John Wall,Bench,PG,19:29,10-14,2-4,0-0,15.8,0,3,3,3,0,1,2,0,22,2016,65,202322
DeMarcus Cousins,Bench,C,11:36,5-5,1-1,0-0,10.5,1,3,4,1,2,0,0,0,11,2016,65,202326
Paul George,Starter,PF,26:49,16-26,9-19,0-0,24.2,0,5,5,1,0,1,3,0,41,2016,65,202331
Klay Thompson,Bench,SG,21:05,3-11,3-10,0-0,5.5,1,1,2,2,0,1,0,0,9,2016,65,202691
Kawhi Leonard,Starter,PF,25:39,8-15,1-6,0-0,14,3,3,6,3,0,2,2,0,17,2016,65,202695
Isaiah Thomas,Bench,PG,18:59,4-11,1-5,0-0,4.2,3,0,3,1,1,1,1,0,9,2016,65,202738
Anthony Davis,Bench,PF,15:19,12-13,0-0,0-0,20,3,3,6,0,1,1,0,0,24,2016,65,203076
Andre Drummond,Bench,C,18:13,8-11,0-1,0-0,19.2,5,8,13,0,1,2,1,0,16,2016,65,203083
Draymond Green,Bench,PF,12:08,2-6,0-1,0-0,4,1,4,5,0,1,2,1,0,4,2016,65,203110
LeBron James,Starter,PF,19:29,10-17,3-8,0-0,8.5,0,3,3,1,2,0,4,0,23,2017,66,2544
Carmelo Anthony,Bench,SF,19:00,4-8,2-6,0-0,6.2,0,3,3,0,0,0,0,0,10,2017,66,2546
Kyle Lowry,Bench,PG,17:43,7-11,5-9,0-0,11.8,1,2,3,0,1,2,3,0,19,2017,66,200768
Paul Millsap,Bench,PF,13:26,2-4,1-3,0-0,9.8,0,5,5,3,0,1,0,0,5,2017,66,200794
Kevin Durant,Starter,PF,27:09,9-16,2-8,1-2,28.2,4,6,10,10,1,2,0,0,21,2017,66,201142
Marc Gasol,Bench,C,21:29,5-7,0-2,0-0,21,3,7,10,8,0,1,2,1,10,2017,66,201188
Russell Westbrook,Bench,PG,19:42,16-26,7-13,2-2,30.5,2,3,5,7,1,1,2,0,41,2017,66,201566
