FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR,GAME_ID,PLAYER_ID
Allen Iverson,Starter,PG,28:00,10-18,2-2,4-5,18.6,2,0,2,9,0,2,5,0,26,2000,49,947
Ray Allen,Bench,SG,17:00,4-13,1-6,5-6,5,1,0,1,2,2,3,3,1,14,2000,49,951
Kobe Bryant,Starter,SG,28:00,7-16,1-4,0-0,6.5,1,0,1,3,3,2,1,0,15,2000,49,977
Tim Duncan,Starter,PF,33:00,12-14,0-0,0-0,28.2,7,7,14,4,3,1,2,1,24,2000,49,1495
Vince Carter,Starter,SG,28:00,6-11,0-2,0-0,9.2,2,2,4,2,0,2,2,0,12,2000,49,1713
Gary Payton,Bench,PG,18:00,0-5,0-0,0-0,4.8,2,2,4,5,2,2,1,0,0,2001,50,56
Latrell Sprewell,Bench,SF,15:00,3-6,0-1,1-3,4.9,1,0,1,4,1,0,1,0,7,2001,50,84
Dikembe Mutombo,Bench,C,28:00,2-2,0-0,2-2,21.5,3,19,22,0,5,2,2,3,6,2001,50,87
Vlade Divac,Bench,C,09:00,4-6,0-1,0-0,8,1,2,3,1,0,2,1,0,8,2001,50,124
Chris Webber,Starter,SF,29:00,6-14,0-1,2-4,11.8,4,5,9,3,2,1,1,0,14,2001,50,185
Anthony Mason,Starter,PF,20:00,0-3,0-0,0-0,0.2,2,2,4,1,2,1,2,0,0,2001,50,193
Antonio Davis,Starter,C,20:00,4-11,0-0,0-0,10.2,7,2,9,0,0,1,0,1,8,2001,50,213
Karl Malone,Bench,PF,04:00,0-2,0-0,0-0,-0.8,0,1,1,0,0,0,0,0,0,2001,50,252
Allan Houston,Bench,SG,15:00,2-5,1-2,0-0,5.5,0,3,3,3,0,0,1,0,5,2001,50,275
Glenn Robinson,Bench,PF,18:00,4-7,0-0,0-0,9,1,3,4,1,0,1,0,1,8,2001,50,299
Jason Kidd,Starter,PG,30:00,4-6,3-4,0-0,10,0,4,4,2,3,5,5,0,11,2001,50,467
Antonio McDyess,Bench,PF,15:00,4-9,0-0,0-0,10,3,5,8,2,2,1,0,0,8,2001,50,686
Kevin Garnett,Starter,C,27:00,7-12,0-0,0-0,14.2,1,3,4,4,0,1,2,3,14,2001,50,708
Jerry Stackhouse,Bench,SG,15:00,3-8,1-1,0-2,3.8,2,0,2,2,1,0,0,0,7,2001,50,711
Michael Finley,Bench,SF,19:00,5-15,0-2,2-2,6.8,2,1,3,5,0,0,1,0,12,2001,50,714
Rasheed Wallace,Bench,PF,21:00,1-7,0-1,0-0,1,1,3,4,2,0,1,2,0,2,2001,50,739
David Robinson,Bench,C,10:00,3-5,0-0,2-4,3.8,2,2,4,0,3,0,1,0,8,2001,50,764
Allen Iverson,Starter,PG,27:00,9-21,1-1,6-6,13.5,0,2,2,5,0,4,4,0,25,2001,50,947
Stephon Marbury,Bench,PG,18:00,5-9,2-3,0-2,4.5,0,0,0,4,2,0,3,0,12,2001,50,950
Ray Allen,Bench,SG,19:00,7-15,1-7,0-0,9.2,1,2,3,2,0,1,1,1,15,2001,50,951
Kobe Bryant,Starter,SG,30:00,9-17,1-2,0-0,13.2,2,2,4,7,3,1,3,0,19,2001,50,977
Tim Duncan,Starter,PF,28:00,5-11,0-0,4-4,17.2,4,10,14,1,1,2,2,1,14,2001,50,1495
Tracy McGrady,Starter,SG,21:00,1-4,0-1,0-0,-1,1,0,1,0,0,2,4,1,2,2001,50,1503
Vince Carter,Starter,SF,24:00,7-18,1-4,1-1,7.1,1,2,3,4,1,1,3,1,16,2001,50,1713
Gary Payton,Bench,PG,22:00,7-13,4-6,0-0,14.5,0,1,1,6,1,3,3,0,18,2002,51,56
Dikembe Mutombo,Starter,PF,21:00,3-5,0-0,2-2,11.5,6,4,10,0,0,0,2,1,8,2002,51,87
Chris Webber,Starter,PF,20:00,3-7,1-2,1-4,6.2,3,0,3,4,2,1,2,0,8,2002,51,185
Alonzo Mourning,Bench,C,16:00,6-7,0-0,1-1,12.4,1,2,3,2,1,0,1,2,13,2002,51,297
Jason Kidd,Starter,SG,18:00,1-2,0-1,0-0,4.2,0,1,1,3,0,1,1,0,2,2002,51,467
Kevin Garnett,Starter,SF,24:00,7-15,0-1,0-0,16.8,6,6,12,2,1,2,0,0,14,2002,51,708
