RK,FULL_NAME,TWITTER_ACC
133,Mikal Bridges\bridgmi01,mikal_bridges
134,Miles Bridges\bridgmi02,MilesBridges
135,Amida Brimah\brimaam01,amidabrimah
136,Isaiah Briscoe\briscis01,ZayBriscoe
137,Jon Brockman\brockjo01,MrJonBrockman
138,Ryan Broekhoff\broekry01,RBroekhoff45
139,Aaron Brooks\brookaa01,Thirty2zero
140,Dillon Brooks\brookdi01,dillonbrooks24
141,MarShon Brooks\brookma01,Marshon2
142,Alec Brown\brownal01,AlecBrown21
143,Anthony Brown\brownan02,TwoShotOne
144,Bobby Brown\brownbo02,BBROWNLAU
145,Bruce Brown\brownbr01,BruceBrown11
146,Dee Brown\brownde03,deebrown11
147,Derrick Brown\brownde04,D_Brown4
148,Jabari Brown\brownja01,Bari_BrownIDF
149,Jaylen Brown\brownja02,FCHWPO
150,Lorenzo Brown\brownlo01,Zo_Brown
151,Markel Brown\brownma02,iMarkelBrown22
152,Troy Brown\browntr01,Troy_Brown33
153,Jalen Brunson\brunsja01,jalenbrunson1
154,Kobe Bryant\bryanko01,kobebryant
155,Thomas Bryant\bryanth01,nolimittb31
156,Chase Budinger\budinch01,CBudinger
157,Reggie Bullock\bullore01,ReggieBullock35
158,Trey Burke\burketr01,TreyBurke
159,Alec Burks\burksal01,AlecBurks10
160,Antonio Burks\burksan01,antonioburks
161,Deonte Burton\burtode01,DeonteBurton
162,Deonte Burton\burtode02,DeonteBurton
163,Caron Butler\butleca01,realtuffjuice
164,Jimmy Butler\butleji01,JimmyButler
165,Rasual Butler\butlera01,RasualButler45
166,Dwight Buycks\buyckdw01,BuycksWorld13
167,Bruno Caboclo\cabocbr01,Bruno_Caboclo
168,Michael Cage\cagemi01,Exhoopsmc
169,Nick Calathes\calatni01,Nick_Calathes15
170,Jose Calderon\caldejo01,JmCalderon
171,Kentavious Caldwell-Pope\caldwke01,CaldwellPope
172,Marcus Camby\cambyma01,MarcusCamby23
173,Isaiah Canaan\canaais01,SiP03
174,Clint Capela\capelca01,CapelaClint
175,Derrick Caracter\caracde01,RebuildCaracter
176,Brian Cardinal\cardibr01,BrianCardinal
