,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
4,Jermaine O'Neal,Starter,PF,33:00,3-10,0-0,4-6,11.8,4.0,6,10,0,2,2,2,4,10,2003.0
5,Ben Wallace,Starter,C,24:00,1-2,0-0,0-2,6.8,4.0,2,6,0,1,2,2,2,2,2003.0
6,Vince Carter,Bench,SG,25:00,4-9,1-1,0-0,3.8,1.0,0,1,2,1,0,1,0,9,2003.0
7,Zydrunas Ilgauskas,Bench,C,04:00,0-1,0-0,0-0,-2.2,0.0,0,0,0,1,0,1,0,0,2003.0
8,Jason Kidd,Bench,PG,33:00,4-9,1-4,2-2,20.5,1.0,4,5,10,0,5,2,0,11,2003.0
9,Jamal Mashburn,Bench,SF,14:00,4-7,2-2,0-0,11.8,0.0,4,4,2,0,2,0,0,10,2003.0
10,Brad Miller,Bench,C,17:00,2-4,0-0,1-2,6.5,3.0,3,6,3,2,0,2,0,5,2003.0
11,Paul Pierce,Bench,SF,18:00,4-11,0-5,0-0,5.8,0.0,2,2,3,1,4,2,0,8,2003.0
12,Antoine Walker,Bench,PF,09:00,2-4,1-3,1-2,2.0,0.0,1,1,0,0,0,1,0,6,2003.0
1,Kobe Bryant,Starter,SG,30:00,12-25,0-4,7-7,18.9,2.0,3,5,5,2,1,0,0,31,2002.0
2,Tim Duncan,Starter,C,29:00,7-11,0-0,0-0,17.5,3.0,11,14,2,1,0,3,2,14,2002.0
3,Steve Francis,Starter,PG,18:00,1-8,0-1,1-2,0.5,1.0,1,2,3,1,2,2,0,3,2002.0
4,Kevin Garnett,Starter,SF,24:00,7-15,0-1,0-0,16.8,6.0,6,12,2,1,2,0,0,14,2002.0
5,Chris Webber,Starter,PF,20:00,3-7,1-2,1-4,6.2,3.0,0,3,4,2,1,2,0,8,2002.0
6,Elton Brand,Bench,PF,19:00,3-5,0-0,0-0,10.0,5.0,5,10,1,2,0,2,1,6,2002.0
7,Steve Nash,Bench,PG,24:00,3-9,2-4,0-0,13.5,2.0,1,3,9,1,1,0,0,8,2002.0
8,Dirk Nowitzki,Bench,PF,24:00,5-11,1-4,1-1,10.4,2.0,6,8,3,1,0,2,0,12,2002.0
9,Gary Payton,Bench,PG,22:00,7-13,4-6,0-0,14.5,0.0,1,1,6,1,3,3,0,18,2002.0
10,Peja Stojakovic,Bench,SF,18:00,4-10,3-5,0-0,6.5,2.0,0,2,1,0,0,0,0,11,2002.0
11,Wally Szczerbiak,Bench,SG,12:00,4-6,2-3,0-0,12.0,1.0,2,3,3,0,1,0,0,10,2002.0
1,Allen Iverson,Starter,PG,25:00,2-9,0-0,1-2,1.8,1.0,3,4,3,0,0,2,0,5,2002.0
2,Michael Jordan,Starter,SF,22:00,4-13,0-0,0-0,4.8,0.0,4,4,3,1,2,1,0,8,2002.0
3,Jason Kidd,Starter,SG,18:00,1-2,0-1,0-0,4.2,0.0,1,1,3,0,1,1,0,2,2002.0
4,Dikembe Mutombo,Starter,PF,21:00,3-5,0-0,2-2,11.5,6.0,4,10,0,0,0,2,1,8,2002.0
5,Antoine Walker,Starter,PF,16:00,2-10,0-0,2-4,0.0,0.0,2,2,1,1,1,2,0,8,2002.0
6,Shareef Abdur-Rahim,Bench,SF,21:00,4-4,1-1,0-0,9.8,1.0,5,6,0,2,0,0,0,9,2002.0
7,Ray Allen,Bench,SG,25:00,6-17,3-10,0-0,10.2,1.0,2,3,5,3,3,1,0,15,2002.0
8,Baron Davis,Bench,PG,13:00,1-4,0-2,0-0,1.2,0.0,1,1,5,1,0,3,0,2,2002.0
9,Tracy McGrady,Bench,SG,23:00,9-15,2-4,4-4,19.5,2.0,1,3,4,1,3,1,0,24,2002.0
10,Alonzo Mourning,Bench,C,16:00,6-7,0-0,1-1,12.4,1.0,2,3,2,1,0,1,2,13,2002.0
11,Jermaine O'Neal,Bench,PF,17:00,3-4,2-5,0-0,7.8,0.0,7,7,0,1,0,1,0,7,2002.0
12,Paul Pierce,Bench,SF,23:00,9-18,1-6,0-0,15.0,3.0,4,7,3,1,1,0,0,19,2002.0
1,Kobe Bryant,Starter,SG,30:00,9-17,1-2,0-0,13.2,2.0,2,4,7,3,1,3,0,19,2001.0
2,Tim Duncan,Starter,PF,28:00,5-11,0-0,4-4,17.2,4.0,10,14,1,1,2,2,1,14,2001.0
3,Kevin Garnett,Starter,C,27:00,7-12,0-0,0-0,14.2,1.0,3,4,4,0,1,2,3,14,2001.0
4,Jason Kidd,Starter,PG,30:00,4-6,3-4,0-0,10.0,0.0,4,4,2,3,5,5,0,11,2001.0
5,Chris Webber,Starter,SF,29:00,6-14,0-1,2-4,11.8,4.0,5,9,3,2,1,1,0,14,2001.0
6,Vlade Divac,Bench,C,09:00,4-6,0-1,0-0,8.0,1.0,2,3,1,0,2,1,0,8,2001.0
7,Michael Finley,Bench,SF,19:00,5-15,0-2,2-2,6.8,2.0,1,3,5,0,0,1,0,12,2001.0
8,Karl Malone,Bench,PF,04:00,0-2,0-0,0-0,-0.8,0.0,1,1,0,0,0,0,0,0,2001.0
9,Antonio McDyess,Bench,PF,15:00,4-9,0-0,0-0,10.0,3.0,5,8,2,2,1,0,0,8,2001.0
10,Gary Payton,Bench,PG,18:00,0-5,0-0,0-0,4.8,2.0,2,4,5,2,2,1,0,0,2001.0
11,David Robinson,Bench,C,10:00,3-5,0-0,2-4,3.8,2.0,2,4,0,3,0,1,0,8,2001.0
12,Rasheed Wallace,Bench,PF,21:00,1-7,0-1,0-0,1.0,1.0,3,4,2,0,1,2,0,2,2001.0
1,Vince Carter,Starter,SF,24:00,7-18,1-4,1-1,7.1,1.0,2,3,4,1,1,3,1,16,2001.0
2,Antonio Davis,Starter,C,20:00,4-11,0-0,0-0,10.2,7.0,2,9,0,0,1,0,1,8,2001.0
3,Allen Iverson,Starter,PG,27:00,9-21,1-1,6-6,13.5,0.0,2,2,5,0,4,4,0,25,2001.0
4,Anthony Mason,Starter,PF,20:00,0-3,0-0,0-0,0.2,2.0,2,4,1,2,1,2,0,0,2001.0
5,Tracy McGrady,Starter,SG,21:00,1-4,0-1,0-0,-1.0,1.0,0,1,0,0,2,4,1,2,2001.0
6,Ray Allen,Bench,SG,19:00,7-15,1-7,0-0,9.2,1.0,2,3,2,0,1,1,1,15,2001.0
7,Allan Houston,Bench,SG,15:00,2-5,1-2,0-0,5.5,0.0,3,3,3,0,0,1,0,5,2001.0
8,Stephon Marbury,Bench,PG,18:00,5-9,2-3,0-2,4.5,0.0,0,0,4,2,0,3,0,12,2001.0
9,Dikembe Mutombo,Bench,C,28:00,2-2,0-0,2-2,21.5,3.0,19,22,0,5,2,2,3,6,2001.0
10,Glenn Robinson,Bench,PF,18:00,4-7,0-0,0-0,9.0,1.0,3,4,1,0,1,0,1,8,2001.0
11,Latrell Sprewell,Bench,SF,15:00,3-6,0-1,1-3,4.9,1.0,0,1,4,1,0,1,0,7,2001.0
12,Jerry Stackhouse,Bench,SG,15:00,3-8,1-1,0-2,3.8,2.0,0,2,2,1,0,0,0,7,2001.0
1,Vince Carter,Starter,SG,28:00,6-11,0-2,0-0,9.2,2.0,2,4,2,0,2,2,0,12,2000.0
2,Grant Hill,Starter,SF,19:00,3-7,0-1,1-1,6.6,0.0,3,3,5,0,1,3,0,7,2000.0
3,Allen Iverson,Starter,PG,28:00,10-18,2-2,4-5,18.6,2.0,0,2,9,0,2,5,0,26,2000.0
4,Eddie Jones,Starter,PF,21:00,4-7,2-3,0-0,10.5,1.0,3,4,3,1,1,1,0,10,2000.0
5,Alonzo Mourning,Starter,C,27:00,7-11,0-0,1-2,16.8,2.0,5,7,1,4,3,1,4,15,2000.0
6,Ray Allen,Bench,SG,17:00,4-13,1-6,5-6,5.0,1.0,0,1,2,2,3,3,1,14,2000.0
7,Dale Davis,Bench,C,14:00,2-3,0-0,0-0,9.5,3.0,5,8,1,0,0,0,0,4,2000.0
8,Allan Houston,Bench,SG,18:00,3-10,1-3,4-4,3.5,0.0,0,0,2,1,1,1,0,11,2000.0
9,Reggie Miller,Bench,SF,21:00,1-7,1-6,2-2,3.0,0.0,2,2,3,1,1,1,0,5,2000.0
10,Dikembe Mutombo,Bench,C,16:00,2-4,0-0,0-0,5.5,2.0,6,8,0,0,0,2,0,4,2000.0
11,Glenn Robinson,Bench,SF,17:00,5-10,0-0,0-0,7.5,2.0,4,6,0,0,0,0,0,10,2000.0
12,Jerry Stackhouse,Bench,SF,14:00,4-7,0-0,0-0,3.5,0.0,1,1,2,2,0,1,0,8,2000.0
1,Kobe Bryant,Starter,SG,28:00,7-16,1-4,0-0,6.5,1.0,0,1,3,3,2,1,0,15,2000.0
2,Tim Duncan,Starter,PF,33:00,12-14,0-0,0-0,28.2,7.0,7,14,4,3,1,2,1,24,2000.0
3,Kevin Garnett,Starter,SF,35:00,10-19,0-1,4-4,23.0,3.0,7,10,5,1,1,0,1,24,2000.0
4,Jason Kidd,Starter,PG,34:00,4-9,3-6,0-0,20.0,0.0,5,5,14,0,4,6,0,11,2000.0
5,Shaquille O'Neal,Starter,C,25:00,11-20,0-0,0-2,15.0,4.0,5,9,3,2,0,4,3,22,2000.0
6,Michael Finley,Bench,SF,10:00,5-6,1-2,0-0,6.2,0.0,1,1,0,0,0,1,0,11,2000.0
7,Karl Malone,Bench,PF,03:00,0-1,0-0,0-0,-0.8,0.0,0,0,0,0,0,0,0,0,2000.0
8,Gary Payton,Bench,PG,20:00,1-8,0-4,3-3,8.4,0.0,4,4,8,1,2,2,0,5,2000.0
9,David Robinson,Bench,C,07:00,0-1,0-0,0-0,-0.5,1.0,1,2,0,1,0,1,0,0,2000.0
10,John Stockton,Bench,PG,11:00,5-5,0-0,0-0,8.2,0.0,0,0,2,2,1,0,0,10,2000.0
11,Rasheed Wallace,Bench,PF,21:00,3-6,0-0,3-4,8.5,2.0,2,4,0,0,1,0,1,9,2000.0
12,Chris Webber,Bench,C,13:00,3-10,0-0,0-0,6.2,3.0,5,8,3,2,1,2,0,6,2000.0
1,Kobe Bryant,Starter,SG,22:00,7-16,2-3,2-2,11.8,2.0,4,6,1,1,2,1,0,18,1998.0
2,Kevin Garnett,Starter,SF,21:00,6-11,0-1,0-0,9.0,1.0,3,4,2,0,2,3,1,12,1998.0
3,Karl Malone,Starter,PF,17:00,2-4,0-0,0-0,6.8,0.0,3,3,2,1,2,0,0,4,1998.0
4,Shaquille O'Neal,Starter,C,18:00,5-10,0-0,2-4,4.5,2.0,2,4,1,2,0,2,0,12,1998.0
5,Gary Payton,Starter,PG,24:00,3-7,1-3,0-0,15.5,2.0,1,3,13,0,2,4,0,7,1998.0
6,Vin Baker,Bench,C,21:00,3-12,0-0,2-2,6.2,6.0,2,8,0,1,1,0,0,8,1998.0
7,Tim Duncan,Bench,PF,14:00,1-4,0-1,0-0,6.5,1.0,10,11,1,0,0,2,0,2,1998.0
8,Eddie Jones,Bench,SF,25:00,7-19,0-7,1-2,12.5,7.0,4,11,1,1,2,0,0,15,1998.0
9,Jason Kidd,Bench,PG,19:00,0-1,0-0,0-0,6.0,0.0,1,1,9,2,0,2,0,0,1998.0
10,Mitch Richmond,Bench,SG,17:00,4-11,0-2,0-0,2.5,0.0,1,1,2,0,0,0,0,8,1998.0
11,David Robinson,Bench,C,22:00,3-4,0-0,9-10,14.8,2.0,4,6,0,1,2,2,2,15,1998.0
12,Nick Van Exel,Bench,PG,20:00,5-14,1-6,2-2,4.2,1.0,2,3,2,0,0,2,0,13,1998.0
1,Penny Hardaway,Starter,PG,12:00,3-5,0-1,0-0,4.2,0.0,0,0,3,0,0,1,0,6,1998.0
2,Grant Hill,Starter,SF,28:00,7-11,1-1,0-0,14.5,0.0,3,3,5,1,1,0,0,15,1998.0
3,Michael Jordan,Starter,SG,32:00,10-18,1-1,2-3,22.1,1.0,5,6,8,0,3,2,0,23,1998.0
4,Shawn Kemp,Starter,PF,25:00,5-10,0-1,2-2,13.5,2.0,9,11,2,2,4,4,0,12,1998.0
5,Dikembe Mutombo,Starter,C,19:00,4-5,0-0,1-2,9.5,1.0,6,7,0,3,0,0,1,9,1998.0
6,Tim Hardaway,Bench,PG,17:00,3-8,2-5,0-0,2.8,0.0,1,1,6,0,0,6,0,8,1998.0
7,Reggie Miller,Bench,SF,20:00,6-8,1-2,1-2,7.2,0.0,0,0,0,2,1,0,0,14,1998.0
8,Glen Rice,Bench,SF,16:00,6-14,4-6,0-0,5.5,1.0,0,1,0,0,0,1,0,16,1998.0
9,Steve Smith,Bench,SF,16:00,6-12,2-5,0-0,7.8,2.0,1,3,0,0,0,0,0,14,1998.0
10,Rik Smits,Bench,C,21:00,3-7,0-0,4-4,13.5,2.0,5,7,4,3,0,0,2,10,1998.0
11,Antoine Walker,Bench,PF,15:00,2-8,0-3,0-0,3.5,1.0,2,3,3,0,1,1,0,4,1998.0
12,Jayson Williams,Bench,C,19:00,2-3,0-0,0-0,10.0,3.0,7,10,1,2,0,0,0,4,1998.0
1,Shawn Kemp,Starter,PF,19:00,4-7,1-2,1-2,7.8,1.0,3,4,1,1,1,1,0,10,1997.0
2,Karl Malone,Starter,SF,20:00,2-8,0-0,0-0,3.2,1.0,3,4,0,0,1,0,1,4,1997.0
3,Hakeem Olajuwon,Starter,C,20:00,5-8,0-0,1-2,7.0,0.0,3,3,1,1,0,1,1,11,1997.0
4,Gary Payton,Starter,SG,28:00,7-15,1-5,2-2,12.8,0.0,1,1,10,2,2,4,0,17,1997.0
5,John Stockton,Starter,PG,20:00,5-6,2-2,0-0,11.5,0.0,0,0,5,2,1,1,0,12,1997.0
6,Kevin Garnett,Bench,C,18:00,1-7,0-0,4-4,7.2,1.0,8,9,1,2,0,0,1,6,1997.0
7,Chris Gatling,Bench,C,12:00,1-8,0-0,0-0,-2.0,0.0,2,2,0,1,1,0,0,2,1997.0
8,Tom Gugliotta,Bench,PF,19:00,3-7,0-1,3-4,9.0,1.0,7,8,3,3,2,3,0,9,1997.0
9,Eddie Jones,Bench,SF,17:00,3-4,0-1,4-7,5.9,1.0,0,1,1,1,1,3,2,10,1997.0
10,Mitch Richmond,Bench,SG,22:00,3-7,3-4,0-0,8.8,1.0,2,3,4,1,0,1,0,9,1997.0
11,Detlef Schrempf,Bench,PF,20:00,5-8,1-3,0-1,8.4,1.0,3,4,2,3,0,1,1,11,1997.0
12,Latrell Sprewell,Bench,SG,25:00,7-12,1-3,4-6,11.2,1.0,2,3,1,2,2,1,0,19,1997.0
1,Penny Hardaway,Starter,PG,24:00,7-10,3-5,2-2,20.0,4.0,3,7,3,2,2,1,0,19,1997.0
2,Grant Hill,Starter,SF,22:00,4-7,0-0,3-4,7.0,2.0,1,3,2,2,1,3,1,11,1997.0
3,Michael Jordan,Starter,SG,26:00,5-14,0-0,4-7,17.9,3.0,8,11,11,4,2,3,0,14,1997.0
4,Dikembe Mutombo,Starter,C,15:00,1-5,0-0,1-2,5.0,2.0,6,8,0,0,0,1,1,3,1997.0
5,Scottie Pippen,Starter,PF,25:00,4-9,0-3,0-0,3.5,0.0,3,3,2,0,0,2,0,8,1997.0
6,Vin Baker,Bench,C,24:00,8-12,0-0,3-4,19.2,7.0,5,12,1,2,0,0,0,19,1997.0
7,Terrell Brandon,Bench,PG,17:00,4-11,2-4,0-0,13.2,1.0,2,3,8,2,2,0,0,10,1997.0
8,Joe Dumars,Bench,SG,10:00,1-4,1-4,0-0,1.8,0.0,1,1,1,0,0,0,0,3,1997.0
9,Tim Hardaway,Bench,PG,14:00,4-10,2-6,0-0,5.2,0.0,3,3,2,1,1,2,0,10,1997.0
10,Christian Laettner,Bench,C,24:00,3-5,0-0,1-1,12.1,4.0,7,11,2,4,1,2,1,7,1997.0
11,Glen Rice,Bench,SF,25:00,10-24,4-7,2-2,9.2,1.0,0,1,1,2,2,1,0,26,1997.0
12,Chris Webber,Bench,C,14:00,1-4,0-0,0-0,1.8,1.0,3,4,3,3,1,3,0,2,1997.0
1,Penny Hardaway,Starter,PG,31:00,6-8,2-4,4-4,18.8,0.0,3,3,7,0,2,3,0,18,1996.0
2,Grant Hill,Starter,SF,26:00,6-10,0-0,2-2,8.8,1.0,2,3,2,1,1,2,0,14,1996.0
3,Michael Jordan,Starter,SG,22:00,8-11,0-0,4-4,15.0,1.0,3,4,1,1,1,0,0,20,1996.0
4,Shaquille O'Neal,Starter,C,28:00,10-16,0-0,5-11,18.6,3.0,7,10,1,3,1,1,2,25,1996.0
5,Scottie Pippen,Starter,PF,25:00,4-7,0-1,0-0,11.2,2.0,6,8,5,0,3,6,0,8,1996.0
6,Vin Baker,Bench,C,14:00,2-5,0-0,2-2,4.2,1.0,1,2,2,4,1,0,0,6,1996.0
7,Terrell Brandon,Bench,PG,20:00,4-10,1-4,2-2,5.2,1.0,0,1,3,1,1,3,1,11,1996.0
8,Patrick Ewing,Bench,C,12:00,3-7,0-0,2-2,8.5,1.0,2,3,1,2,3,0,1,8,1996.0
9,Juwan Howard,Bench,SF,16:00,1-5,0-0,0-0,5.2,4.0,2,6,2,3,1,0,0,2,1996.0
10,Reggie Miller,Bench,SF,18:00,4-8,0-4,0-0,4.5,0.0,2,2,2,2,1,1,0,8,1996.0
11,Alonzo Mourning,Bench,C,13:00,1-6,0-0,0-0,-3.8,0.0,1,1,0,2,0,2,1,2,1996.0
12,Glen Rice,Bench,SF,15:00,1-5,1-2,4-4,1.5,0.0,1,1,2,2,0,2,0,7,1996.0
1,Charles Barkley,Starter,SF,16:00,4-6,0-0,0-0,2.0,0.0,0,0,1,1,0,2,0,8,1996.0
2,Clyde Drexler,Starter,SG,19:00,5-8,1-4,0-0,9.5,0.0,2,2,3,0,3,3,0,11,1996.0
3,Shawn Kemp,Starter,PF,22:00,6-12,0-2,1-2,3.8,2.0,2,4,1,4,0,3,1,13,1996.0
4,Jason Kidd,Starter,PG,22:00,3-4,1-2,0-0,18.5,2.0,4,6,10,1,2,2,0,7,1996.0
5,Hakeem Olajuwon,Starter,C,14:00,2-8,0-0,0-0,-0.5,1.0,2,3,0,2,0,0,0,4,1996.0
6,Sean Elliott,Bench,SF,22:00,5-12,2-6,1-1,5.4,0.0,5,5,2,4,0,2,0,13,1996.0
7,Karl Malone,Bench,PF,20:00,2-6,0-0,7-8,11.8,0.0,9,9,2,1,1,1,0,11,1996.0
8,Dikembe Mutombo,Bench,C,11:00,2-4,0-0,0-0,4.8,6.0,3,9,0,3,0,3,0,4,1996.0
9,Gary Payton,Bench,PG,28:00,6-10,0-0,6-6,16.2,3.0,2,5,5,1,5,6,0,18,1996.0
10,Mitch Richmond,Bench,SG,25:00,3-10,0-3,1-2,1.2,0.0,2,2,2,0,1,2,0,7,1996.0
11,David Robinson,Bench,C,23:00,8-13,0-0,2-2,20.2,6.0,5,11,2,4,2,1,2,18,1996.0
12,John Stockton,Bench,PG,18:00,2-9,0-7,0-0,-1.0,0.0,1,1,3,2,0,1,0,4,1996.0
1,Penny Hardaway,Starter,PG,31:00,4-9,0-2,4-6,15.2,4.0,1,5,11,1,0,3,0,12,1995.0
2,Grant Hill,Starter,SF,20:00,5-8,0-0,0-4,5.5,0.0,0,0,3,2,2,1,0,10,1995.0
3,Reggie Miller,Starter,SG,23:00,3-9,3-6,0-0,5.2,0.0,0,0,2,0,1,1,1,9,1995.0
4,Shaquille O'Neal,Starter,C,26:00,9-16,0-1,4-7,16.6,4.0,3,7,1,2,3,2,2,22,1995.0
5,Scottie Pippen,Starter,PF,30:00,5-15,2-6,0-0,7.5,0.0,7,7,3,1,2,4,1,12,1995.0
6,Vin Baker,Bench,C,11:00,0-2,0-0,2-4,0.5,2.0,0,2,0,1,0,1,1,2,1995.0
7,Dana Barros,Bench,PG,11:00,2-5,1-3,0-0,5.0,0.0,1,1,3,0,0,0,0,5,1995.0
8,Joe Dumars,Bench,SG,21:00,5-8,1-2,0-0,10.5,0.0,0,0,6,1,1,1,0,11,1995.0
9,Patrick Ewing,Bench,C,22:00,4-7,0-0,2-2,1.8,0.0,3,3,1,3,1,5,0,10,1995.0
10,Tyrone Hill,Bench,PF,06:00,1-1,0-0,0-0,4.2,2.0,2,4,0,1,0,0,0,2,1995.0
11,Larry Johnson,Bench,PF,20:00,2-3,1-1,2-2,8.2,1.0,3,4,2,0,0,1,0,7,1995.0
12,Alonzo Mourning,Bench,C,19:00,4-9,0-1,2-3,6.6,0.0,8,8,1,5,0,1,1,10,1995.0
1,Charles Barkley,Starter,SF,23:00,7-12,1-4,0-0,15.5,5.0,4,9,2,1,2,2,0,15,1995.0
2,Shawn Kemp,Starter,PF,23:00,4-6,0-0,5-6,4.2,0.0,2,2,2,5,1,4,0,13,1995.0
3,Dan Majerle,Starter,SG,20:00,4-12,2-7,0-0,7.5,1.0,4,5,3,1,0,0,0,10,1995.0
4,Hakeem Olajuwon,Starter,C,25:00,6-13,1-1,0-2,12.8,4.0,7,11,1,2,2,3,2,13,1995.0
5,Latrell Sprewell,Starter,PG,22:00,4-9,0-2,1-1,11.4,2.0,2,4,4,0,3,1,0,9,1995.0
6,Karl Malone,Bench,PF,16:00,6-6,0-0,3-4,11.2,0.0,3,3,1,0,0,1,0,15,1995.0
7,Dikembe Mutombo,Bench,C,20:00,6-8,0-0,0-0,16.2,3.0,5,8,1,3,0,0,4,12,1995.0
8,Gary Payton,Bench,PG,23:00,3-10,0-3,0-0,17.5,3.0,2,5,15,1,3,3,0,6,1995.0
9,Mitch Richmond,Bench,SG,22:00,10-13,3-3,0-0,19.0,3.0,1,4,2,0,0,0,0,23,1995.0
10,David Robinson,Bench,C,14:00,3-5,0-0,4-6,9.2,0.0,3,3,2,2,2,1,1,10,1995.0
11,Detlef Schrempf,Bench,SF,18:00,4-11,1-4,0-0,7.8,0.0,4,4,5,2,0,0,0,9,1995.0
12,John Stockton,Bench,PG,14:00,2-6,0-3,0-0,8.5,1.0,0,1,6,0,2,0,0,4,1995.0
1,Kenny Anderson,Starter,PG,16:00,3-10,0-1,0-0,-0.2,1.0,3,4,3,2,0,4,0,6,1994.0
2,B.J. Armstrong,Starter,SG,22:00,5-9,1-2,0-0,7.8,1.0,0,1,4,1,0,1,0,11,1994.0
3,Derrick Coleman,Starter,PF,18:00,1-6,0-0,0-0,1.5,1.0,2,3,1,3,1,0,1,2,1994.0
4,Shaquille O'Neal,Starter,C,26:00,2-12,0-0,4-11,6.4,4.0,6,10,0,2,1,1,4,8,1994.0
5,Scottie Pippen,Starter,SF,31:00,9-15,5-9,6-10,26.2,0.0,11,11,2,2,4,2,1,29,1994.0
6,Mookie Blaylock,Bench,PG,16:00,2-5,1-2,0-0,3.5,0.0,1,1,2,3,2,1,0,5,1994.0
7,Patrick Ewing,Bench,C,24:00,7-15,0-0,6-7,12.1,4.0,4,8,1,2,0,1,0,20,1994.0
8,Horace Grant,Bench,PF,17:00,2-8,0-0,0-0,9.5,6.0,2,8,2,0,1,1,2,4,1994.0
9,Charles Oakley,Bench,PF,11:00,1-3,0-0,0-0,3.8,1.0,2,3,3,3,0,0,0,2,1994.0
10,Mark Price,Bench,PG,22:00,8-10,2-3,2-2,19.8,0.0,2,2,5,1,1,0,1,20,1994.0
11,John Starks,Bench,PG,20:00,4-9,1-3,0-0,6.2,1.0,2,3,3,1,1,2,0,9,1994.0
12,Dominique Wilkins,Bench,SF,17:00,4-9,0-2,3-6,7.5,2.0,0,2,4,1,0,0,0,11,1994.0
1,Clyde Drexler,Starter,SF,15:00,3-7,0-2,0-0,4.5,0.0,3,3,1,1,1,1,1,6,1994.0
2,Shawn Kemp,Starter,PF,22:00,3-11,0-0,0-0,7.2,6.0,6,12,4,4,0,6,3,6,1994.0
3,Karl Malone,Starter,SF,21:00,3-9,0-0,0-0,6.2,3.0,4,7,2,2,1,1,0,6,1994.0
4,Hakeem Olajuwon,Starter,C,30:00,8-15,0-0,3-6,18.8,4.0,7,11,2,4,2,3,5,19,1994.0
5,Mitch Richmond,Starter,PG,24:00,5-16,0-0,0-0,0.5,0.0,2,2,3,0,0,2,0,10,1994.0
6,Kevin Johnson,Bench,PG,14:00,3-6,0-0,0-1,2.4,0.0,1,1,2,1,1,2,0,6,1994.0
7,Danny Manning,Bench,PF,17:00,4-7,0-0,0-0,6.8,0.0,4,4,2,4,0,0,1,8,1994.0
8,Gary Payton,Bench,PG,17:00,3-4,0-0,0-0,16.0,2.0,4,6,9,2,0,0,0,6,1994.0
9,Cliff Robinson,Bench,C,18:00,5-8,0-1,0-0,11.8,1.0,1,2,5,0,1,0,0,10,1994.0
10,David Robinson,Bench,C,21:00,6-13,0-0,7-10,10.0,3.0,2,5,0,2,0,1,2,19,1994.0
11,Latrell Sprewell,Bench,SG,15:00,3-8,0-2,3-7,5.1,4.0,3,7,1,1,0,2,0,9,1994.0
12,John Stockton,Bench,PG,26:00,6-10,1-1,0-0,15.5,1.0,4,5,10,2,1,4,0,13,1994.0
1,Larry Johnson,Starter,PF,16:00,2-6,0-2,0-0,2.8,3.0,1,4,0,1,0,0,0,4,1993.0
2,Michael Jordan,Starter,SG,36:00,10-24,1-2,9-13,11.4,3.0,1,4,5,5,4,6,0,30,1993.0
3,Shaquille O'Neal,Starter,C,25:00,4-9,0-0,6-9,8.4,3.0,4,7,0,3,0,0,0,14,1993.0
4,Scottie Pippen,Starter,SF,29:00,4-14,0-2,2-3,11.6,2.0,3,5,4,4,5,0,2,10,1993.0
5,Isiah Thomas,Starter,PG,32:00,4-7,0-1,0-2,6.5,0.0,2,2,4,2,2,2,0,8,1993.0
6,Brad Daugherty,Bench,C,19:00,3-4,0-0,2-4,9.0,1.0,6,7,0,0,0,0,0,8,1993.0
7,Joe Dumars,Bench,SG,17:00,2-8,1-4,0-0,3.0,0.0,2,2,4,1,0,1,0,5,1993.0
8,Patrick Ewing,Bench,C,25:00,7-11,0-0,1-1,13.6,3.0,7,10,1,4,2,4,2,15,1993.0
9,Larry Nance,Bench,C,12:00,3-4,0-0,1-2,7.2,1.0,2,3,1,3,1,0,1,7,1993.0
10,Mark Price,Bench,PG,23:00,6-11,6-9,1-2,10.2,0.0,1,1,4,5,1,3,0,19,1993.0
11,Detlef Schrempf,Bench,PF,13:00,1-3,0-1,1-2,-0.8,0.0,3,3,0,4,0,1,0,3,1993.0
12,Dominique Wilkins,Bench,PF,18:00,2-11,1-3,4-4,4.5,4.0,3,7,0,2,1,1,0,9,1993.0
1,Charles Barkley,Starter,SF,34:00,5-11,1-2,5-7,13.6,0.0,4,4,7,3,4,4,0,16,1993.0
2,Clyde Drexler,Starter,SG,11:00,1-3,0-1,0-0,-1.8,1.0,0,1,1,3,0,2,0,2,1993.0
3,Karl Malone,Starter,PF,34:00,11-17,0-0,6-9,18.6,3.0,7,10,0,3,1,3,2,28,1993.0
4,David Robinson,Starter,PF,26:00,7-10,0-0,7-12,16.0,2.0,8,10,1,4,0,1,1,21,1993.0
5,John Stockton,Starter,PG,31:00,3-6,1-2,2-2,18.8,0.0,6,6,15,3,2,5,0,9,1993.0
6,Sean Elliott,Bench,SF,15:00,1-6,0-0,3-4,-0.8,1.0,1,2,0,1,0,1,0,5,1993.0
7,Tim Hardaway,Bench,PG,21:00,3-9,1-3,9-12,11.0,1.0,5,6,4,1,1,3,0,16,1993.0
8,Shawn Kemp,Bench,PF,09:00,0-2,0-0,0-0,-1.0,2.0,0,2,0,3,0,0,0,0,1993.0
9,Dan Majerle,Bench,SG,26:00,6-11,3-6,3-4,19.0,2.0,5,7,3,2,1,0,2,18,1993.0
10,Danny Manning,Bench,SF,18:00,5-5,0-0,0-0,10.0,1.0,3,4,1,1,0,0,0,10,1993.0
11,Hakeem Olajuwon,Bench,C,21:00,1-5,0-0,1-2,4.8,2.0,5,7,1,3,2,3,2,3,1993.0
