,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
4,LeBron James,Starter,SF,27:00,8-19,2-5,2-2,8.8,0.0,5,5,3,0,0,3,0,20,2009.0
5,Dwyane Wade,Starter,SG,26:00,6-13,2-6,4-7,14.6,2.0,0,2,5,2,3,0,0,18,2009.0
6,Ray Allen,Bench,SG,18:00,4-10,0-3,0-0,3.0,1.0,2,3,1,0,0,1,0,8,2009.0
7,Danny Granger,Bench,SF,11:00,1-1,0-0,0-0,3.2,1.0,0,1,0,0,2,1,0,2,2009.0
8,Devin Harris,Bench,PG,17:00,3-6,0-1,0-0,2.5,1.0,0,1,0,0,0,0,0,6,2009.0
9,Joe Johnson,Bench,SG,22:00,0-4,0-3,0-0,-8.0,0.0,0,0,0,0,0,5,0,0,2009.0
10,Rashard Lewis,Bench,SF,21:00,3-6,1-4,1-2,5.0,1.0,5,6,0,3,0,1,0,8,2009.0
11,Paul Pierce,Bench,SF,20:00,6-11,1-5,5-6,12.2,1.0,3,4,2,3,2,1,0,18,2009.0
12,Mo Williams,Bench,PG,17:00,5-10,2-5,0-0,9.2,1.0,1,2,5,0,0,2,0,12,2009.0
1,Kobe Bryant,Starter,SG,29:00,12-23,3-8,0-0,20.0,1.0,3,4,4,0,4,1,0,27,2009.0
2,Tim Duncan,Starter,PF,18:00,3-5,0-0,0-0,6.0,0.0,3,3,2,1,1,2,1,6,2009.0
3,Chris Paul,Starter,PG,29:00,7-14,0-1,0-0,23.0,1.0,6,7,14,4,3,1,0,14,2009.0
4,Amar'e Stoudemire,Starter,SF,25:00,7-10,0-0,5-6,12.0,3.0,3,6,0,1,0,2,0,19,2009.0
5,Yao Ming,Starter,C,12:00,1-4,0-0,0-0,0.2,0.0,3,3,0,2,0,1,1,2,2009.0
6,Chauncey Billups,Bench,PG,19:00,2-5,1-3,0-0,2.8,0.0,2,2,3,2,1,3,0,5,2009.0
7,Pau Gasol,Bench,PF,17:00,5-7,0-0,4-4,15.8,2.0,6,8,1,2,1,0,1,14,2009.0
8,Dirk Nowitzki,Bench,PF,14:00,3-5,0-0,2-2,5.2,0.0,1,1,1,0,0,0,0,8,2009.0
9,Shaquille O'Neal,Bench,C,11:00,8-9,0-0,1-4,15.0,4.0,1,5,3,1,0,2,1,17,2009.0
10,Tony Parker,Bench,PG,20:00,7-11,0-2,0-0,12.8,0.0,4,4,4,0,2,2,0,14,2009.0
11,Brandon Roy,Bench,SG,31:00,7-8,0-0,0-0,15.8,0.0,5,5,5,2,0,0,0,14,2009.0
12,David West,Bench,PF,15:00,3-5,0-0,0-0,4.8,1.0,2,3,0,2,1,0,0,6,2009.0
1,Chris Bosh,Starter,PF,22:00,7-15,0-0,0-2,7.2,2.0,5,7,1,1,0,1,0,14,2008.0
2,Dwight Howard,Starter,C,31:00,7-7,0-0,2-3,21.6,5.0,4,9,3,4,3,1,1,16,2008.0
3,LeBron James,Starter,SF,30:00,12-22,2-7,1-1,23.9,1.0,7,8,9,3,2,4,2,27,2008.0
4,Jason Kidd,Starter,PG,25:00,1-2,0-1,0-0,16.5,0.0,4,4,10,0,4,1,0,2,2008.0
5,Dwyane Wade,Starter,SG,22:00,7-12,0-1,0-2,9.0,1.0,3,4,3,1,0,2,1,14,2008.0
6,Ray Allen,Bench,SG,19:00,10-14,5-9,3-5,20.1,0.0,2,2,1,0,2,0,0,28,2008.0
7,Chauncey Billups,Bench,PG,18:00,3-10,0-6,0-1,1.6,1.0,0,1,4,1,0,1,0,6,2008.0
8,Richard Hamilton,Bench,SG,18:00,4-9,1-1,0-0,4.2,0.0,0,0,2,0,0,0,0,9,2008.0
9,Antawn Jamison,Bench,SF,12:00,1-3,0-2,0-0,-0.5,0.0,1,1,0,0,0,2,1,2,2008.0
10,Joe Johnson,Bench,SG,13:00,1-2,1-1,0-0,3.0,0.0,0,0,2,1,1,1,0,3,2008.0
11,Paul Pierce,Bench,SF,13:00,5-9,0-3,0-0,6.2,0.0,4,4,2,0,0,2,0,10,2008.0
12,Rasheed Wallace,Bench,PF,17:00,1-5,1-5,0-0,4.5,2.0,3,5,0,2,1,1,2,3,2008.0
1,Carmelo Anthony,Starter,SF,22:00,8-17,0-0,2-3,9.6,5.0,2,7,1,0,0,2,0,18,2008.0
2,Kobe Bryant,Starter,PG,03:00,0-0,0-0,0-0,0.8,0.0,1,1,0,0,0,0,0,0,2008.0
3,Tim Duncan,Starter,PF,22:00,2-7,0-1,0-0,5.0,4.0,5,9,1,1,1,4,1,4,2008.0
4,Allen Iverson,Starter,PG,21:00,3-7,0-0,1-2,7.8,1.0,1,2,6,0,4,6,1,7,2008.0
5,Yao Ming,Starter,C,13:00,2-5,0-2,2-2,5.5,1.0,4,5,1,0,0,1,0,6,2008.0
6,Carlos Boozer,Bench,PF,19:00,7-15,0-0,0-2,9.5,4.0,6,10,0,0,0,1,0,14,2008.0
7,Steve Nash,Bench,PG,20:00,4-8,0-1,0-0,6.5,0.0,0,0,6,3,0,1,1,8,2008.0
8,Dirk Nowitzki,Bench,PF,25:00,5-14,1-4,2-2,5.0,1.0,3,4,2,0,0,2,0,13,2008.0
9,Chris Paul,Bench,PG,27:00,7-14,2-6,0-0,21.8,2.0,1,3,14,5,4,2,0,16,2008.0
10,Brandon Roy,Bench,SG,29:00,8-10,2-3,0-0,23.5,1.0,8,9,5,2,1,0,1,18,2008.0
11,Amar'e Stoudemire,Bench,PF,23:00,8-11,1-2,1-3,12.4,0.0,5,5,0,2,1,1,1,18,2008.0
12,David West,Bench,PF,16:00,3-6,0-0,0-0,4.5,2.0,2,4,1,1,0,1,0,6,2008.0
1,Gilbert Arenas,Starter,PG,20:00,3-8,2-7,0-0,7.8,0.0,1,1,4,0,2,1,0,8,2007.0
2,Chris Bosh,Starter,PF,22:00,5-7,0-0,1-12,8.2,3.0,4,7,1,0,0,0,0,11,2007.0
3,LeBron James,Starter,SF,32:00,11-20,4-8,2-2,19.8,0.0,6,6,6,0,1,4,0,28,2007.0
4,Shaquille O'Neal,Starter,C,17:00,5-13,0-0,0-0,6.2,4.0,2,6,1,1,0,1,1,10,2007.0
